"lat","lon","alt","vel"
-15.818267,-48.060509,1209.500000,0.535000
-15.818259,-48.060514,1209.000000,0.989000
-15.818258,-48.060513,1208.700000,0.510000
-15.818256,-48.060516,1208.800000,0.679000
-15.818256,-48.060517,1209.000000,0.422000
-15.818255,-48.060520,1208.900000,0.329000
-15.818254,-48.060520,1209.200000,0.174000
-15.818252,-48.060518,1209.700000,0.093000
-15.818251,-48.060517,1210.500000,0.026000
-15.818249,-48.060517,1211.000000,0.066000
-15.818248,-48.060516,1211.300000,0.146000
-15.818248,-48.060517,1211.700000,0.278000
-15.818247,-48.060516,1212.200000,0.137000
-15.818246,-48.060514,1212.900000,0.157000
-15.818246,-48.060513,1213.200000,0.095000
-15.818244,-48.060511,1213.400000,0.335000
-15.818240,-48.060511,1213.400000,0.626000
-15.818236,-48.060510,1213.700000,0.630000
-15.818230,-48.060504,1214.400000,1.305000
-15.818226,-48.060505,1214.600000,0.895000
-15.818225,-48.060502,1214.700000,0.743000
-15.818225,-48.060501,1214.600000,0.470000
-15.818228,-48.060499,1214.600000,0.435000
-15.818228,-48.060496,1214.600000,0.602000
-15.818226,-48.060497,1214.500000,0.264000
-15.818225,-48.060499,1214.900000,0.091000
-15.818223,-48.060501,1215.400000,0.294000
-15.818225,-48.060498,1215.800000,0.210000
-15.818224,-48.060494,1216.200000,0.034000
-15.818224,-48.060492,1216.600000,0.095000
-15.818223,-48.060490,1216.600000,0.399000
-15.818218,-48.060487,1216.900000,0.651000
-15.818215,-48.060486,1217.000000,0.683000
-15.818220,-48.060485,1217.300000,0.315000
-15.818225,-48.060485,1217.600000,0.134000
-15.818229,-48.060484,1218.000000,0.219000
-15.818234,-48.060481,1218.400000,0.470000
-15.818233,-48.060481,1218.500000,0.404000
-15.818232,-48.060486,1217.600000,0.156000
-15.818231,-48.060492,1217.200000,0.234000
-15.818228,-48.060494,1217.300000,0.426000
-15.818227,-48.060492,1217.700000,0.169000
-15.818226,-48.060492,1217.800000,0.050000
-15.818225,-48.060493,1217.300000,0.054000
-15.818223,-48.060494,1217.100000,0.220000
-15.818219,-48.060495,1216.600000,0.724000
-15.818214,-48.060497,1216.600000,0.991000
-15.818213,-48.060498,1216.700000,0.700000
-15.818210,-48.060500,1216.500000,0.910000
-15.818210,-48.060501,1216.700000,0.661000
